symbol,entry_price,exit_price,return_%,exit_reason
AAVE-USDT,187.26,187.8,0.29,timeout
AAVE-USDT,182.91,189.17,3.42,timeout
AAVE-USDT,178.47,179.17,0.39,timeout
AAVE-USDT,175.2,170.95,-2.43,timeout
AAVE-USDT,169.84,173.95,2.42,timeout
AAVE-USDT,153.25,161.45,5.35,timeout
AAVE-USDT,157.81,156.6,-0.77,timeout
AAVE-USDT,153.12,149.54,-2.34,timeout
AAVE-USDT,147.13,152.07,3.36,timeout
AAVE-USDT,147.81,153.43,3.8,timeout
AAVE-USDT,148.37,144.61,-2.53,timeout
AAVE-USDT,144.07,129.12,-10.38,timeout
AAVE-USDT,129.0,114.99,-10.86,timeout
AAVE-USDT,116.24,131.1,12.78,timeout
AAVE-USDT,124.5,129.73,4.2,timeout
ADA-USDT,0.7085,0.6985,-1.41,timeout
ADA-USDT,0.6992,0.6983,-0.13,timeout
ADA-USDT,0.6708,0.6678,-0.45,timeout
ADA-USDT,0.6343,0.6577,3.69,timeout
ADA-USDT,0.6399,0.6504,1.64,timeout
ADA-USDT,0.6465,0.6295,-2.63,timeout
ADA-USDT,0.6147,0.6509,5.89,timeout
ADA-USDT,0.6406,0.62,-3.22,timeout
ADA-USDT,0.631,0.579,-8.24,timeout
ADA-USDT,0.5698,0.5483,-3.77,timeout
ADA-USDT,0.5161,0.5683,10.11,timeout
APT-USDT,5.727,5.508,-3.82,timeout
APT-USDT,5.458,5.51,0.95,timeout
APT-USDT,5.341,5.182,-2.98,timeout
APT-USDT,5.219,5.301,1.57,timeout
APT-USDT,5.045,5.261,4.28,timeout
APT-USDT,5.141,5.024,-2.28,timeout
APT-USDT,5.007,5.013,0.12,timeout
APT-USDT,4.954,4.783,-3.45,timeout
APT-USDT,4.838,4.891,1.1,timeout
APT-USDT,4.835,4.909,1.53,timeout
APT-USDT,4.803,4.838,0.73,timeout
APT-USDT,4.802,4.85,1.0,timeout
APT-USDT,4.768,4.643,-2.62,timeout
APT-USDT,4.691,4.342,-7.44,timeout
APT-USDT,4.324,4.211,-2.61,timeout
APT-USDT,3.948,4.356,10.33,timeout
ARB-USDT,0.3692,0.3564,-3.47,timeout
ARB-USDT,0.3511,0.3438,-2.08,timeout
ARB-USDT,0.343,0.3437,0.2,timeout
ARB-USDT,0.3421,0.3325,-2.81,timeout
ARB-USDT,0.3295,0.331,0.46,timeout
ARB-USDT,0.3043,0.3116,2.4,timeout
ARB-USDT,0.3087,0.3038,-1.59,timeout
ARB-USDT,0.2975,0.3091,3.9,timeout
ARB-USDT,0.3046,0.3037,-0.3,timeout
ARB-USDT,0.3027,0.2806,-7.3,timeout
ARB-USDT,0.2723,0.2739,0.59,timeout
ARB-USDT,0.2713,0.2629,-3.1,timeout
ATOM-USDT,4.657,4.612,-0.97,timeout
ATOM-USDT,4.312,4.243,-1.6,timeout
ATOM-USDT,4.181,4.45,6.43,timeout
ATOM-USDT,4.529,4.464,-1.44,timeout
ATOM-USDT,4.419,4.207,-4.8,timeout
ATOM-USDT,4.144,4.355,5.09,timeout
ATOM-USDT,4.189,4.171,-0.43,timeout
ATOM-USDT,4.148,4.288,3.38,timeout
ATOM-USDT,4.239,4.24,0.02,timeout
ATOM-USDT,4.196,4.192,-0.1,timeout
